,Statistics,P-Values
Author,-0.8870553720128316,0.37508863054710784
We,1.369196697814544,0.17099479352898894
Baby,-0.6303154728065015,0.5285148978157864
Doctor,1.9369031721814816,0.05280932584381409
Partner,0.367869581356935,0.7129849140927457
Nurse,1.6272293777038387,0.10374678744395527
Midwife,1.5607860791807044,0.11863288694362029
Family,1.3864626439392445,0.16566296973918565
Anesthesiologist,0.12979118886206714,0.8967364728268549
Doula,1.3374246258431413,0.1811404508869394
Author,0.9024287151144171,0.3668694605228331
We,1.8575470219646284,0.06328781652405391
Baby,-1.8929793753996318,0.05841408353840724
Doctor,0.614853083997738,0.538677679611633
Partner,-1.0910434640717273,0.2753024817412801
Nurse,0.4275799487395772,0.6689740321959752
Midwife,0.7447995732874468,0.45642533498702254
Family,2.0811622066337767,0.03746611176604416
Anesthesiologist,0.11543316613293506,0.9081060878872254
Doula,0.8115148290334975,0.41710588144106064
Author,0.3990048738928615,0.6899054052891144
We,2.4551189498138863,0.014115135379189226
Baby,-2.1206528548323593,0.03399652696480133
Doctor,1.0339916577015755,0.30118640942792435
Partner,-1.7973972122522612,0.07232848426763737
Nurse,0.43106359007045714,0.6664393559802579
Midwife,0.33921576408486437,0.7344603974074915
Family,2.5218227334156373,0.011703408431543537
Anesthesiologist,-2.1269509050959896,0.03346941095231556
Doula,2.0491624990535926,0.040494491664230504
Author,0.23918158426268724,0.810973867316739
We,-0.5387235593998889,0.590099842263653
Baby,-2.197203140513691,0.028048307544614036
Doctor,-0.06246187941235346,0.9501973323201809
Partner,-1.7582347242434142,0.0787642751518797
Nurse,1.7923866372883817,0.07312706362406174
Midwife,-0.568815332732027,0.5695051453291713
Family,4.546150937034803,5.583004781928178e-06
Anesthesiologist,-0.14273334215421177,0.8865061132230176
Doula,1.5395113530617308,0.12373815461798991
Author,-0.8608828160572425,0.38934084385124745
We,0.3002100626284682,0.7640284967101858
Baby,-0.505537247264398,0.6132021967248513
Doctor,-0.11841228545615931,0.9057454002440434
Partner,-1.6967613534811772,0.0897994724413624
Nurse,0.17432511623411703,0.8616165024892279
Midwife,-1.6206791132483491,0.10514491627155464
Family,3.2011636210527548,0.0013766769598444054
Anesthesiologist,1.3095360220903027,0.19040860802004408
Doula,1.2476211637828962,0.21222397487922184
Author,-0.2698421648805088,0.7872920032517727
We,-0.2122182810711741,0.8319447623321636
Baby,0.525672525449225,0.5991373611041846
Doctor,0.023293611098012954,0.9814169293939361
Partner,-0.47776471802601267,0.6328370315522953
Nurse,1.3215158099395037,0.1863854718634013
Midwife,-0.07102498026859048,0.9433805068807022
Family,4.518076143855353,6.373576429897172e-06
Anesthesiologist,-0.6650429317407139,0.506051461253991
Doula,1.4985204637165217,0.13405658689596853
Author,-0.9634192892456446,0.33538032979217025
We,-0.70186174356951,0.48279566516107986
Baby,-1.6492975200446942,0.09914491644738181
Doctor,-0.3302922425908645,0.7411919787946626
Partner,-2.1052754392651676,0.03531344888677743
Nurse,1.0425801195381115,0.2971895162362649
Midwife,0.3827228450566588,0.7019403510910281
Family,3.246503453265945,0.00117545861371615
Anesthesiologist,-0.27407560250618435,0.7840370154155458
Doula,1.4733657876873187,0.14071077030611592
Author,-0.9852789525995785,0.3245312521429221
We,1.1824858139692092,0.237065102209305
Baby,-3.1951907973181757,0.0014054338421045714
Doctor,-0.3668600663124328,0.7137377877980033
Partner,-1.759305970698506,0.07858222892954303
Nurse,-1.5646335621557679,0.11772750522845714
Midwife,-1.8978113432317119,0.057774269808358966
Family,2.690946269792748,0.0071469291591996584
Anesthesiologist,0.5171362527503941,0.6050822480844323
Doula,0.7389322876822457,0.459980261080978
Author,-1.5608788447308917,0.11861099348547902
We,0.5387294789799987,0.5900957573863086
Baby,-4.828593005345119,1.4129807320765663e-06
Doctor,-1.2199345790645109,0.22254300078377962
Partner,-1.9615476760434314,0.049866519205322014
Nurse,-0.393362400767983,0.6940673794271539
Midwife,-1.1585129921615582,0.24670603170297675
Family,2.423851499548675,0.015389548646181452
Anesthesiologist,0.5177323265197865,0.6046662685273012
Doula,-0.6970974339916561,0.48577185635246145
Author,-1.4804677366688013,0.13880685817476818
We,-0.10703049661691796,0.914768765564099
Baby,-1.3267992703154956,0.1846312457387138
Doctor,0.4151945089280356,0.6780160289652688
Partner,-0.35257537538273387,0.7244205738879672
Nurse,0.9880995507150001,0.3231482077986072
Midwife,-2.1325872584546954,0.033003621343261666
Family,0.28959631444063544,0.772136215353247
Anesthesiologist,0.47546993294502854,0.6344713087603775
Doula,0.6145828516406988,0.5388561596889736
